Adjetivo,Frequência,Categoria
inviolável,1,Caráter
insinuante,1,Aparência
prodígio,1,Caráter
particular,1,Neutro
machucada,1,Emoção
deputada,1,Papel social
malcriada,1,Caráter
atenciosa,1,Caráter
corpão,1,Aparência
iludida,1,Emoção
caipirinha,1,Papel social
gracinha,1,Aparência
trabalhadeira,1,Caráter
precipitada,1,Emoção
arrasada,1,Emoção
ótima,1,Caráter
piveta,1,Papel social
granfina,1,Papel social
possuída,1,Emoção
porreta,1,Caráter
amassadinha,1,Aparência
vitoriosa,1,Emoção
formosura,1,Aparência
facinha,1,Caráter
safadinhas,1,Sexual
incompleta,1,Neutro
libanesa,1,Papel social
mato-grossense,1,Papel social
indiscreta,1,Caráter
careca,1,Aparência
bundão,1,Aparência
crente,1,Papel social
comportadinha,1,Emoção
sinceridade,1,Emoção
vidrada,1,Emoção
datilógrafa,1,Papel social
palestina,1,Papel social
incrivel,1,Caráter
bruta,1,Caráter
saciada,1,Neutro
rápida,1,Caráter
economista,1,Papel social
nutricionista,1,Papel social
arquiteta,1,Papel social
jornalista,1,Papel social
proctologista,1,Papel social
falecida,1,Neutro
pantaneira,1,Papel social
defensora,1,Emoção
miúda,1,Aparência
tranqüila,1,Emoção
bagaceira,1,Emoção
impiedosa,1,Caráter
esguia,1,Aparência
maneirona,1,Caráter
imprevisivel,1,Caráter
transformada,1,Emoção
atleta,1,Papel social
peladinha,1,Aparência
descarada,1,Emoção
internacional,1,Papel social
desinibida,1,Caráter
empregadinha,1,Papel social
mini,1,Aparência
díficil,1,Caráter
periculosidade,1,Caráter
xodó,1,Emoção
exata,1,Emoção
branquinha,1,Aparência
docinha,1,Emoção
estudiosa,1,Caráter
empolgante,1,Emoção
empoderada,1,Caráter
tinhosa,1,Caráter
reclusa,1,Emoção
passiva,1,Caráter
empregada,1,Papel social
folgada,1,Caráter
tostadinha,1,Aparência
fervorosa,1,Emoção
bonitona,1,Aparência
caladinha,1,Emoção
aérea,1,Emoção
