 Adjetivo,Frequência,Categoria
responsáveis,1,Caráter
apertadinho,1,Aparência
estuprador,1,Sexual
tendência,1,Emoção
despeitado,1,Neutro
dodói,1,Neutro
cavaleiro,1,Papel social
excelência,1,Papel social
condutor,1,Papel social
tesão,1,Sexual
incompetente,1,Caráter
jovial,1,Aparência
sergipano,1,Papel social
argentino,1,Papel social
frustrado,1,Emoção
arrogante,1,Caráter
rapidinho,1,Aparência
cachorrão,1,Neutro
querubim,1,Neutro
ameaçado,1,Emoção
inalcançável,1,Caráter
desembestado,1,Emoção
líder,1,Papel social
abraçadinho,1,Emoção
havaiano,1,Papel social
conselheiro,1,Papel social
embriagado,1,Emoção
indisciplinado,1,Caráter
catequista,1,Papel social
interessado,1,Caráter
policial,1,Papel social
guitarrista,1,Papel social
europeu,1,Papel social
ousado,1,Caráter
assentado,1,Papel social
imprevisível,1,Emoção
desleal,1,Caráter
incisivo,1,Caráter
festeiro,1,Caráter
pretão,1,Aparência
humilhado,1,Emoção
mandrakinho,1,Aparência
sistemático,1,Caráter
colono,1,Papel social
aleijadinho,1,Aparência
eficiente,1,Caráter
bebum,1,Caráter
perversidade,1,Caráter
arquiteto,1,Papel social
desengonçado,1,Aparência
motorista,1,Papel social
demônio,1,Neutro
gênio,1,Caráter
adúltero,1,Caráter
viúvo,1,Papel social
ridículo,1,Caráter
brutal,1,Emoção
ultrapassado,1,Caráter
magnífico,1,Emoção
responsavel,1,Caráter
ganância,1,Emoção
considerado,1,Caráter
sensacionalista,1,Papel social
presidiário,1,Papel social
precoce,1,Emoção
paraguaio,1,Papel social
irrelevante,1,Caráter
malicioso,1,Caráter
bigodudo,1,Aparência
depressivo,1,Emoção
quilombola,1,Papel social
explorador,1,Caráter
maestro,1,Papel social
astronauta,1,Papel social
lesado,1,Emoção
galego,1,Aparência
machista,1,Sexual
risonho,1,Caráter
perturbado,1,Caráter
cientista,1,Papel social
conquistador,1,Caráter
enraivecido,1,Emoção
viril,1,Aparência
narrador,1,Papel social
confiante,1,Emoção
político,1,Papel social
general,1,Papel social
racista,1,Caráter
corrupto,1,Caráter
fútil,1,Caráter
baitola,1,Sexual
avô,1,Papel social
dentista,1,Papel social
banqueiro,1,Papel social
brocha,1,Sexual
grandalhão,1,Aparência
paralítico,1,Aparência
meretíssimo,1,Papel social
mariquinha,1,Sexual
essencial,1,Emoção
democrata,1,Papel social
sadio,1,Aparência
árabe,1,Papel social
pálido,1,Aparência
paralisado,1,Emoção
capataz,1,Papel social
inconsequente,1,Caráter
cristão,1,Papel social
dançador,1,Papel social
emotivo,1,Emoção
possessivo,1,Caráter
gatão,1,Aparência
distraido,1,Caráter
empolgado,1,Emoção
imbecil,1,Caráter
benevolente,1,Caráter
desbravador,1,Papel social
mortal,1,Neutro
imoral,1,Caráter
sofisticado,1,Aparência
psicanalista,1,Papel social
irritante,1,Caráter
nojento,1,Caráter
celebridade,1,Papel social
indefinido,1,Caráter
saciado,1,Emoção
avacalham,1,Emoção
inadequado,1,Caráter
genioso,1,Caráter
pelado,1,Aparência
seduzido,1,Emoção
ensaboado,1,Emoção
dificil,1,Caráter
pop-star,1,Papel social
tocador,1,Papel social
porteiro,1,Papel social
discreto,1,Caráter
incompreensível,1,Caráter
raso,1,Caráter
eletricista,1,Papel social
bombeiro,1,Papel social
fantasma,1,Neutro
grato,1,Emoção
gado,1,Neutro
imprestável,1,Caráter
cuidadoso,1,Caráter
especialista,1,Papel social
bagunçado,1,Aparência
explosivo,1,Emoção
constante,1,Caráter
bissexual,1,Sexual
esquisitos,1,Caráter
previsível,1,Caráter
caucasiano,1,Aparência
grudados,1,Caráter
bundão,1,Caráter
distande,1,Emoção
fitness,1,Aparência
deslumbrado,1,Emoção
bigno,1,Emoção
piedoso,1,Caráter
enxuto,1,Aparência
sexo,1,Sexual
pretensioso,1,Caráter
vigilante,1,Caráter
indurável,1,Emoção
assaltado,1,Emoção
desonesto,1,Caráter
incomum,1,Neutro
indomável,1,Caráter
calmaria,1,Emoção
enigmático,1,Caráter
mijão,1,Emoção
acolhido,1,Emoção
repórter,1,Papel social
bilíngue,1,Papel social
cibernético,1,Neutro
neurótico,1,Emoção
trombadinha,1,Caráter
plebeu,1,Papel social
mesquinho,1,Caráter
radialista,1,Papel social
banguela,1,Aparência
beijoqueiro,1,Caráter
português,1,Papel social
lunático,1,Neutro
tristonho,1,Emoção
sambista,1,Papel social
bombado,1,Aparência
impressionante,1,Caráter
musculoso,1,Aparência
desobediente,1,Caráter
desligado,1,Emoção
nervozinho,1,Emoção
encantador,1,Emoção
quietinho,1,Caráter
descarado,1,Caráter
